County,Office,Candidate,Party,County Total,State Total
Greene,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,4,659
Grenada,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,6,659
Hancock,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,11,659
Harrison,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,30,659
Hinds,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,60,659
Holmes,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,14,659
Humphreys,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,4,659
Issaquena,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,0,659
Itawamba,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,3,659
Jackson,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,37,659
Jasper,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,5,659
Jeff Davis,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,5,659
Jefferson,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,1,659
Jones,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,9,659
Kemper,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,5,659
Lafayette,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,8,659
Lamar,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,10,659
Lauderdale,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,14,659
Lawrence,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,1,659
Leake,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,1,659
Lee,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,12,659
Leflore,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,6,659
Lincoln,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,7,659
Lowndes,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,9,659
Madison,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,14,659
Marion,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,5,659
Marshall,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,11,659
Monroe,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,4,659
Montgomery,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,1,659
Neshoba,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,2,659
Newton,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,6,659
Noxubee,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,4,659
Oktibbeha,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,14,659
Panola,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,11,659
Pearl River,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,13,659
Perry,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,4,659
Pike,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,4,659
Pontotoc,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,4,659
Prentiss,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,3,659
Quitman,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,3,659
Rankin,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,12,659
Scott,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,4,659
Sharkey,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,0,659
Simpson,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,4,659
Smith,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,2,659
Stone,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,2,659
Sunflower,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,3,659
Tallahatchie,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,1,659
Tate,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,7,659
Tippah,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,3,659
Tishomingo,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,1,659
Tunica,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,1,659
Union,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,3,659
Walthall,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,6,659
Warren,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,8,659
Washington,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,10,659
Wayne,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,6,659
Webster,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,3,659
